Feature,r,p_val,Classification,n
cp,0.4348542500527365,1.563205763382811e-48,+ Moderate,1025
thalach,0.42289549648287084,9.962970840354021e-46,+ Moderate,1025
slope,0.34551175143599855,4.12205348339382e-30,+ Moderate,1025
restecg,0.13446820873908877,1.5641034328732428e-05,No Correlation,1025
fbs,-0.04116354746465111,0.18789674942248935,No Correlation,1025
chol,-0.09996559423254107,0.0013525712504627416,No Correlation,1025
trestbps,-0.13877173373730095,8.233014978866e-06,No Correlation,1025
age,-0.22932355126761092,1.0677220241598076e-13,No Correlation,1025
sex,-0.2795007572922631,7.523831193728161e-20,No Correlation,1025
thal,-0.3378381504571863,8.781191683224652e-29,- Moderate,1025
ca,-0.3820852890386707,5.699148415151362e-37,- Moderate,1025
exang,-0.43802855005584623,2.6949316902696663e-49,- Moderate,1025
oldpeak,-0.4384412701119445,2.1413380381325065e-49,- Moderate,1025
